name,path
"Alpha 7 Quarantine",Maps/Alpha_7_Quarantine/Alpha_7_Quarantine.sanmap
"Ambush Pass",Maps/Ambush_Pass/Ambush_Pass.sanmap
"Arctic Refuge",Maps/Arctic_Refuge/Arctic_Refuge.sanmap
"Blasted Rock",Maps/Blasted_Rock/Blasted_Rock.sanmap
"Burial Mounds",Maps/Burial_Mounds/Burial_Mounds.sanmap
"Canis River",Maps/Canis_River/Canis_River.sanmap
"Concord Lake",Maps/Concord_Lake/Concord_Lake.sanmap
"Crag Dunes",Maps/Crag_Dunes/Crag_Dunes.sanmap
"Crossfire Canal",Maps/Crossfire_Canal/Crossfire_Canal.sanmap
"Daroza s Sanctuary",Maps/Daroza_s_Sanctuary/Daroza_s_Sanctuary.sanmap
"Drake s Ravine",Maps/Drake_s_Ravine/Drake_s_Ravine.sanmap
"Emerald Crater",Maps/Emerald_Crater/Emerald_Crater.sanmap
"Eye of the Storm",Maps/Eye_of_the_Storm/Eye_of_the_Storm.sanmap
"Fields of Isis",Maps/Fields_of_Isis/Fields_of_Isis.sanmap
"Finn s Revenge",Maps/Finn_s_Revenge/Finn_s_Revenge.sanmap
"Flooded Strip Mine",Maps/Flooded_Strip_Mine/Flooded_Strip_Mine.sanmap
"Four Corners",Maps/Four_Corners/Four_Corners.sanmap
"Four Leaf Clover",Maps/Four_Leaf_Clover/Four_Leaf_Clover.sanmap
"Gentleman s Reef",Maps/Gentleman_s_Reef/Gentleman_s_Reef.sanmap
"Hanna Oasis",Maps/Hanna_Oasis/Hanna_Oasis.sanmap
"Haven Reef",Maps/Haven_Reef/Haven_Reef.sanmap
"High Noon",Maps/High_Noon/High_Noon.sanmap
"Ian s Cross",Maps/Ian_s_Cross/Ian_s_Cross.sanmap
"Liberiam Battles",Maps/Liberiam_Battles/Liberiam_Battles.sanmap
"Open Palms",Maps/Open_Palms/Open_Palms.sanmap
"Paradise",Maps/Paradise/Paradise.sanmap
"Roanoke Abyss",Maps/Roanoke_Abyss/Roanoke_Abyss.sanmap
"Saltrock Colony",Maps/Saltrock_Colony/Saltrock_Colony.sanmap
"Sentry Point",Maps/Sentry_Point/Sentry_Point.sanmap
"Seraphim Glaciers",Maps/Seraphim_Glaciers/Seraphim_Glaciers.sanmap
"Seton s Clutch",Maps/Seton_s_Clutch/Seton_s_Clutch.sanmap
"Shards",Maps/Shards/Shards.sanmap
"Shuriken Island",Maps/Shuriken_Island/Shuriken_Island.sanmap
"Sludge",Maps/Sludge/Sludge.sanmap
"Snoey Triangle",Maps/Snoey_Triangle/Snoey_Triangle.sanmap
"Strip Mine",Maps/Strip_Mine/Strip_Mine.sanmap
"Sung Island",Maps/Sung_Island/Sung_Island.sanmap
